,SOURCE,SYMBOL,SERIES,ISIN_NUMBER
96,NSE,OAL,EQ,INE959C01023
97,NSE,NYKAA,EQ,INE388Y01029
98,NSE,NUVOCO,EQ,INE118D01016
99,NSE,OMFREIGHT,EQ,INE1BZC01019
100,NSE,ORIENTELEC,EQ,INE142Z01019
101,NSE,ORIENTHOT,EQ,INE750A01020
102,NSE,ORIENTLTD,EQ,INE609C01024
103,NSE,PASUPTAC,EQ,INE818B01023
104,NSE,PASHUPATI,EQ,INE124Y01010
105,NSE,PARSVNATH,EQ,INE561H01026
106,NSE,PARKHOTELS,EQ,INE988S01028
107,NSE,PARKHOSPS,EQ,INE119201023
108,NSE,PARASPETRO,EQ,INE162C01024
109,NSE,PARAS,EQ,INE045601023
110,NSE,PARAGMILK,EQ,INE883N01014
111,NSE,PARADEEP,EQ,INE088F01024
112,NSE,PARACABLES,EQ,INE074B01023
113,NSE,PAR,EQ,INE04LG01015
114,NSE,PANSARI,BE,INE697V01011
115,NSE,PANAMAPET,EQ,INE305C01029
116,NSE,PANACHE,EQ,INE895W01019
117,NSE,PANACEABIO,EQ,INE922B01023
118,NSE,PALREDTEC,EQ,INE218G01033
119,NSE,PALASHSECU,EQ,INE471W01019
120,NSE,ORIENTPPR,EQ,INE592A01026
121,NSE,ORIENTTECH,EQ,INE0PPK01015
122,NSE,ORISSAMINE,EQ,INE725E01024
123,NSE,ORKLAINDIA,EQ,INE16NZ01023
124,NSE,ORTINGLOBE,BE,INE749B01020
125,NSE,OSIAHYPER,EQ,INE06IR01021
126,NSE,PRECOT,EQ,INE283A01014
127,NSE,OSWALAGRO,EQ,INE142A01012
128,NSE,OSWALPUMPS,EQ,INE0BYP01024
129,NSE,OSWALSEEDS,EQ,INE00IK01029
130,NSE,PACEDIGITK,EQ,INE0S3G01027
131,NSE,PAGEIND,EQ,INE761H01022
132,NSE,PAISALO,EQ,INE420C01059
133,NSE,PAKKA,EQ,INE551D01018
134,NSE,OSWALGREEN,EQ,INE143A01010
135,NSE,NUVAMA,EQ,INE531F01023
136,NSE,PRECWIRE,EQ,INE372C01037
137,NSE,PREMIER,BE,INE342A01018
138,NSE,RKDL,EQ,INE722J01012
139,NSE,RITES,EQ,INE320J01015
140,NSE,RITCO,EQ,INE01EG01016
141,NSE,RISHABH,EQ,INE0N2P01017
142,NSE,RIIL,EQ,INE046A01015
143,NSE,RICOAUTO,EQ,INE209B01025
144,NSE,RHL,EQ,INE508K01013
145,NSE,RHIM,EQ,INE743M01012
146,NSE,RHETAN,EQ,INE0KKN01029
147,NSE,RGL,EQ,INE722H01024
148,NSE,RETAIL,EQ,INE03DD01011
149,NSE,RESPONIND,EQ,INE688D01026
150,NSE,REPRO,EQ,INE461B01014
151,NSE,REPL,EQ,INE364Z01019
152,NSE,RKEC,EQ,INE786W01010
153,NSE,REPCOHOME,EQ,INE612J01015
154,NSE,REMSONSIND,EQ,INE474C01023
155,NSE,RELTD,EQ,INE206N01018
156,NSE,RELIGARE,EQ,INE621H01010
157,NSE,RELIANCE,EQ,INE002A01018
158,NSE,RELIABLE,BE,INE375Y01018
159,NSE,RELCHEMQ,EQ,INE750D01016
160,NSE,RELAXO,EQ,INE131B01039
161,NSE,REGENCERAM,EQ,INE277C01012
162,NSE,REGAAL,EQ,INE0MHO01029
163,NSE,REFEX,EQ,INE056I01025
164,NSE,REDTAPE,EQ,INE0LXT01019
165,NSE,REDINGTON,EQ,INE891D01026
166,NSE,RECLTD,EQ,INE020B01018
167,NSE,RCOM,BE,INE330H01018
168,NSE,RENUKA,EQ,INE087H01022
169,NSE,RCF,EQ,INE027A01015
170,NSE,RKFORGE,EQ,INE399G01023
171,NSE,RMDRIP,EQ,INE219Y01026
172,NSE,RUDRA,EQ,INE027T01023
173,NSE,RUCHIRA,EQ,INE803H01014
174,NSE,RUCHINFRA,EQ,INE413B01023
175,NSE,RUBYMILLS,EQ,INE301D01026
176,NSE,RUBICON,EQ,INE506V01022
177,NSE,RUBFILA,EQ,INE642C01025
178,NSE,RTNPOWER,EQ,INE399K01017
