SOURCE,ISIN_NUMBER,SYMBOL,SERIES
BSE,INE548A01028,HFCL,A
BSE,INE019C01026,HSCL,A
BSE,INE549A01026,HCC,A
BSE,INE345A01011,HINDOILEXP,B
BSE,INE415A01038,AGI,A
BSE,INE267A01025,HINDZINC,A
BSE,INE353A01023,NDLVENTURE,B
BSE,INE262A01018,HMT,Z
BSE,INE962B01011,PRAGBOS,X
BSE,INE102A01024,HLVLTD,B
BSE,INE204A01010,IGPL,B
BSE,INE560A01023,INDIAGLYCO,A
BSE,INE333C01013,INDLEASE,X
BSE,INE680B01019,MARGOFIN,X
BSE,INE156A01020,INDORAMA,B
BSE,INE009A01021,INFY,A
BSE,INE177A01018,INGERRAND,A
BSE,INE262B01016,ITHL,X
BSE,INE570A01022,IONEXCHANG,A
BSE,INE209A01019,SUNDROP,B
BSE,INE175A01038,JISLJALEQS,A
BSE,INE711C01028,JASCH,X
BSE,INE197D01010,JINDALPOLY,B
BSE,INE019A01038,JSWSTEEL,A
BSE,INE217B01036,KAJARIACER,A
BSE,INE437B01014,KAKATCEM,B
BSE,INE907A01026,KSL,B
BSE,INE716A01013,WHIRLPOOL,A
BSE,INE104A01012,KGDENIM,X
BSE,INE266B01017,KINETICENG,X
BSE,INE732A01036,KIRLOSBROS,A
BSE,INE250A01039,KIRLOSIND,B
BSE,INE884B01025,KIRLFER,A
BSE,INE601C01013,ENVAIREL,XT
BSE,INE237A01036,KOTAKBANK,A
BSE,INE999A01023,KSB,A
BSE,INE337A01034,LGBBROSLTD,B
BSE,INE849A01020,TRENT,A
BSE,INE269B01029,LMW,A
BSE,INE115A01026,LICHSGFIN,A
BSE,INE326A01037,LUPIN,A
BSE,INE933A01014,LYKALABS,B
BSE,INE331A01037,RAMCOCEM,A
BSE,INE965B01022,HYBRIDFIN,T
BSE,INE270B01035,MAFATIND,X
BSE,INE271B01025,MAHSEAMLES,A
BSE,INE288A01013,MAHSCOOTER,A
BSE,INE201B01022,MAJESAUT,X
BSE,INE201A01024,MANALIPETC,B
BSE,INE461A01024,BARODARY,X
BSE,INE180A01020,MFSL,A
BSE,INE401C01018,MIDINDIA,X
BSE,INE831A01028,MIRCELECTR,B
BSE,INE485A01015,CENTENKA,B
BSE,INE794W01014,MODTHREAD,B
BSE,INE846D01012,LORDSCHLO,B
BSE,INE285B01017,SPICEJET,A
BSE,INE083A01026,MOREPENLAB,A
BSE,INE883A01011,MRF,A
BSE,INE578A01017,HEIDELBERG,B
BSE,INE868B01028,NCC,A
BSE,INE205A01025,VEDL,A
BSE,INE290A01027,NAHARSPING,B
BSE,INE585A01020,NAPEROL,X
BSE,INE047A01021,GRASIM,A
BSE,INE161A01038,NIITLTD,A
BSE,INE903A01025,JAYKAY,B
BSE,INE910A01012,NIRLON,B
BSE,INE213A01029,ONGC,A
BSE,INE591A01010,OILCOUNTUB,B
BSE,INE750A01020,ORIENTHOT,B
BSE,INE142A01012,OSWALAGRO,B
BSE,INE557C01017,INDSUCR,X
BSE,INE167E01037,PANCM,X
BSE,INE002A01018,RELIANCE,A
BSE,INE600A01035,PILITA,B
BSE,INE301A01014,RAYMOND,A
BSE,INE318A01026,PIDILITIND,A
BSE,INE751B01018,PIXTRANS,B
BSE,INE340A01012,BIRLACORPN,A
BSE,INE335A01020,SURYAROSNI,A
BSE,INE032B01021,PRIMESECU,B
BSE,INE010A01011,PRSMJOHNSN,A
BSE,INE855B01025,RAIN,A
BSE,INE024D01016,PRUDMOULI,B
BSE,INE606A01024,AMJLAND,B
BSE,INE609A01010,PUNJCOMMU,B
BSE,INE611A01016,RSWM,B
BSE,INE562B01019,RAJSREESUG,B
BSE,INE613A01020,RALLIS,A
BSE,INE278B01020,RAMANEWS,B
BSE,INE425E01013,RAMAPPR-B,Z
BSE,INE350D01015,RAPICUT,XT
BSE,INE731F01037,WELSPLSOL,B
BSE,INE642C01025,RUBFILA,B
BSE,INE619A01035,PATANJALI,A
BSE,INE924A01013,SALORAINTL,X
BSE,INE538C01017,SAMTELIN,XT
BSE,INE324A01032,JINDALSAW,A
BSE,INE786A01032,JKLAKSHMI,A
BSE,INE070A01015,SHREECEM,A
BSE,INE970C01012,SKPMIL,XT
BSE,INE245A01021,TATAPOWER,A
BSE,INE937A01023,SPMLINFRA,B
BSE,INE387A01021,SUNDRMFAST,A
BSE,INE947A01014,SUNFLAG,B
BSE,INE663A01033,SPLPETRO,A
BSE,INE277A01016,SWARAJENG,B
BSE,INE670A01012,TATAELXSI,A
BSE,INE012A01025,ACC,A
BSE,INE152A01029,THERMAX,A
BSE,INE338A01024,TIRUMALCHM,A
BSE,INE332A01027,THOMASCOOK,A
BSE,INE064A01026,TIMEX,B
BSE,INE932C01012,TOKYOPLAST,B
BSE,INE685A01028,TORNTPHARM,A
BSE,INE578C01021,TPINDIA,X
BSE,INE019B01010,TRANSCHEM,XT
BSE,INE079A01024,AMBUJACEM,A
BSE,INE184E01024,UTLINDS,XT
BSE,INE037A01022,UNIENTER,B
BSE,INE701A01023,VHL,B
BSE,INE038A01020,HINDALCO,A
BSE,INE976A01021,WSTCSTPAPR,B
BSE,INE048A01011,HOCL,B
BSE,INE844C01027,MPILCORPL,X
BSE,INE818B01023,PASUPTAC,B
BSE,INE601A01017,TEAM24,X
BSE,INE179A01014,PGHH,A
BSE,INE304A01026,MUKANDLTD,B
BSE,INE676A01027,BBOX,B
BSE,INE139B01016,UCAL,B
BSE,INE544A01019,HARRMALAYA,B
BSE,INE171A01029,FEDERALBNK,A
BSE,INE081A01020,TATASTEEL,A
BSE,INE640A01023,SKFINDIA,A
BSE,INE208A01029,ASHOKLEY,A
BSE,INE298A01020,CUMMINSIND,A
BSE,INE151A01013,TATACOMM,A
BSE,INE358A01014,ABBOTINDIA,A
BSE,INE118A01012,BAJAJHLDNG,A
BSE,INE465A01025,BHARATFORG,A
BSE,INE042A01014,ESCORTS,A
BSE,INE253A01025,HINDMOTORS,B
BSE,INE018A01030,LT,A
